BewertungsDatum,Maturity,ATM_Puts_Bid,ATM_Puts_Ask,ATM_Calls_Bid,ATM_Calls_Ask,OTM_Puts_Bid,OTM_Puts_Ask,OTM_Calls_Bid,OTM_Calls_Ask,ATM_Strike,OTM_Put_Strike,OTM_Call_Strike
2020-01-17,2020-02-21,51.1,51.5,25.6,26.1,13.7,14.0,0.5,0.6,3350.0,3200.0,3500.0
2020-02-21,2020-03-20,55.4,56.3,45.4,46.1,20.2,20.6,0.15,0.35,3350.0,3200.0,3550.0
2020-03-20,2020-04-17,170.2,175.3,117.8,122.4,111.0,115.2,70.8,74.3,2350.0,2200.0,2450.0
2020-04-17,2020-05-15,114.3,116.0,87.2,88.7,65.4,66.6,24.1,25.1,2900.0,2750.0,3050.0
2020-05-15,2020-06-19,118.9,120.9,65.8,66.9,66.9,68.0,12.2,12.8,2900.0,2750.0,3050.0
2020-06-19,2020-07-17,108.3,114.5,76.9,83.2,62.1,64.9,9.9,12.6,3100.0,2950.0,3300.0
2020-07-17,2020-08-21,96.8,98.3,63.9,64.6,48.7,49.3,13.7,14.4,3250.0,3100.0,3400.0
2020-08-21,2020-09-18,64.5,65.1,57.2,57.7,28.9,29.4,3.0,3.3,3400.0,3250.0,3600.0
2020-09-18,2020-10-16,89.3,90.5,64.3,65.0,40.6,41.3,12.7,13.2,3350.0,3200.0,3500.0
2020-10-16,2020-11-20,114.6,116.3,80.9,82.3,64.5,65.7,12.3,13.1,3500.0,3350.0,3700.0
2020-11-20,2020-12-18,100.5,103.7,44.7,46.9,36.3,37.5,7.7,8.3,3600.0,3400.0,3750.0
2020-12-18,2021-01-15,81.0,82.8,50.2,51.2,28.4,29.3,6.4,6.9,3750.0,3550.0,3900.0
2021-01-15,2021-02-19,106.9,108.1,61.4,62.4,48.4,49.2,5.2,5.6,3800.0,3600.0,4000.0
2021-02-19,2021-03-19,94.2,95.4,42.9,43.7,37.2,37.8,1.8,2.05,3950.0,3750.0,4150.0
2021-03-19,2021-04-16,88.6,90.7,43.6,44.5,31.4,32.3,2.85,3.2,3950.0,3750.0,4150.0
2021-04-16,2021-05-21,76.7,77.4,53.2,54.0,26.1,26.4,3.8,4.0,4200.0,4000.0,4400.0
2021-05-21,2021-06-18,87.1,88.5,44.5,45.2,27.3,28.0,1.65,1.95,4200.0,3950.0,4400.0
2021-06-18,2021-07-16,86.2,88.0,46.2,47.1,33.5,34.4,1.2,1.5,4200.0,4000.0,4400.0
2021-07-16,2021-08-20,86.4,87.7,55.2,56.0,36.8,37.4,1.75,1.95,4350.0,4150.0,4550.0
2021-08-20,2021-09-17,69.1,70.1,53.2,53.9,28.2,28.6,0.5,0.65,4450.0,4250.0,4700.0
2021-09-17,2021-10-15,83.8,85.5,57.3,58.1,36.9,37.6,0.8,0.95,4450.0,4250.0,4700.0
2021-10-15,2021-11-19,82.8,83.7,49.8,50.5,26.3,26.8,3.1,3.4,4500.0,4250.0,4700.0
2021-11-19,2021-12-17,69.1,69.7,64.3,64.9,27.4,27.9,1.7,1.9,4700.0,4500.0,4950.0
2021-12-17,2022-01-21,107.3,108.9,82.7,84.0,43.9,44.9,5.2,5.6,4650.0,4400.0,4900.0
2022-01-21,2022-02-18,122.8,124.7,112.2,114.2,60.6,62.2,15.0,15.6,4400.0,4200.0,4650.0
2022-02-18,2022-03-18,115.4,117.1,115.4,116.6,57.4,58.5,13.4,14.1,4350.0,4150.0,4600.0
2022-03-18,2022-04-14,108.6,113.4,70.4,73.5,40.4,41.1,9.4,9.9,4500.0,4250.0,4700.0
2022-04-14,2022-05-20,111.5,113.5,98.4,99.9,52.9,53.5,8.7,9.0,4400.0,4200.0,4650.0
2022-05-20,2022-06-17,133.8,138.0,83.7,92.6,60.1,62.1,28.0,36.2,3950.0,3750.0,4100.0
