BewertungsDatum,Maturity,ATM_Puts_Bid,ATM_Puts_Ask,ATM_Calls_Bid,ATM_Calls_Ask,OTM_Puts_Bid,OTM_Puts_Ask,OTM_Calls_Bid,OTM_Calls_Ask,ATM_Strike_Call,ATM_Strike_Put,OTM_Put_Strike,OTM_Call_Strike
2013-04-19,2013-05-18,30.6,32.9,21.3,22.9,8.6,9.3,2.8,3.3,1550.0,1570.0,1500.0,1600.0
2013-05-17,2013-06-22,24.9,26.2,16.5,17.0,6.5,6.9,6.0,7.0,1675.0,1670.0,1600.0,1705.0
2013-06-21,2013-07-20,33.7,35.9,35.2,37.3,19.4,21.2,12.1,13.0,1580.0,1600.0,1560.0,1625.0
2013-07-19,2013-08-17,16.4,17.2,20.4,21.9,8.5,9.0,4.8,6.0,1690.0,1680.0,1650.0,1730.0
2013-08-16,2013-09-21,34.4,36.0,27.1,28.2,15.8,17.1,8.6,9.2,1650.0,1670.0,1620.0,1690.0
2013-09-20,2013-10-19,29.1,31.1,28.7,30.5,9.8,10.7,5.7,6.7,1695.0,1725.0,1670.0,1745.0
2013-10-18,2013-11-16,29.6,31.8,24.9,26.8,8.2,8.9,2.35,2.8,1730.0,1760.0,1700.0,1795.0
2013-11-15,2013-12-21,32.9,35.1,19.5,20.2,11.7,13.2,4.6,5.2,1800.0,1815.0,1760.0,1840.0
2013-12-20,2014-01-18,27.4,28.8,20.5,21.7,9.5,10.4,5.6,6.5,1820.0,1835.0,1780.0,1855.0
2014-01-17,2014-02-22,24.7,26.1,28.9,30.0,12.5,13.6,4.3,5.3,1825.0,1840.0,1800.0,1880.0
2014-02-21,2014-03-22,17.6,18.4,31.6,33.3,10.6,12.0,1.8,2.0,1820.0,1820.0,1790.0,1900.0
2014-03-21,2014-04-19,24.9,25.8,31.8,33.3,12.8,13.9,5.4,6.5,1850.0,1865.0,1825.0,1905.0
2014-04-17,2014-05-17,29.8,31.3,30.0,31.5,12.6,13.1,4.8,5.8,1850.0,1875.0,1825.0,1905.0
2014-05-16,2014-06-21,30.7,32.5,24.5,26.1,13.3,15.2,0.95,1.1,1875.0,1890.0,1840.0,1960.0
2014-06-20,2014-07-19,21.3,22.8,23.1,24.5,7.2,8.1,1.95,2.25,1950.0,1970.0,1920.0,2005.0
2014-07-18,2014-08-16,15.5,16.6,22.4,24.3,9.3,9.9,1.45,1.7,1970.0,1960.0,1930.0,2025.0
2014-08-15,2014-09-20,30.2,31.3,33.4,35.2,12.5,13.7,0.35,0.4,1940.0,1965.0,1900.0,2050.0
2014-09-19,2014-10-18,27.7,30.5,19.4,20.4,6.8,7.9,1.45,1.6,2010.0,2030.0,1950.0,2065.0
2014-10-17,2014-11-22,41.5,43.9,43.2,46.0,28.8,31.6,17.7,18.5,1875.0,1885.0,1845.0,1925.0
2014-11-21,2014-12-20,18.1,19.2,32.8,35.0,7.8,8.6,2.35,2.6,2045.0,2050.0,2000.0,2125.0
2014-12-19,2015-01-17,35.2,38.2,43.7,45.5,14.8,15.9,9.0,10.7,2050.0,2090.0,2025.0,2115.0
